,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor
,acc_x,acc_x,acc_y,acc_y,acc_z,acc_z,gyr_x,gyr_x,gyr_y,gyr_y,gyr_z,gyr_z
76,-6.283210274,-6.45324276,-0.408143299,0.388226062,7.199355648,7.147667212,-0.07208178,0.003788639,-0.080753342,0.05695329,0.068493802,0.003396947
77,-6.292899386,-6.477228348,-0.403474267,0.378653803,7.208631946,7.16850929,-0.012391149,-0.059440054,-0.139628451,0.117217559,0.007390601,0.005546079
78,-6.283491592,-6.484326454,-0.388963565,0.373753644,7.20625383,7.156819898,-0.073698611,0.064941837,-0.080283104,0.176272361,0.007447172,0.067043002
79,-6.283445068,-6.50356095,-0.391359107,0.399924735,7.203921705,7.152140762,-0.070464948,0.064941837,-0.08122358,0.176272361,0.129540432,0.067043002
80,-6.290641029,-6.484418045,-0.393853888,0.409543877,7.210928025,7.142926126,-0.073698611,0.002755636,-0.080283104,0.116908915,0.007447172,0.0049938
81,-6.285562397,-6.489206255,-0.391341883,0.400007903,7.168622376,7.152201735,-0.009857543,-0.121626256,0.038600405,0.057854113,0.130497977,-0.056503122
82,-6.300160763,-6.491632547,-0.381945874,0.402415868,7.187220714,7.156856249,-0.072315132,-0.057374047,-0.021030231,-0.002693691,0.068831841,0.002352373
83,-6.283527938,-6.479727258,-0.388969725,0.404936845,7.210957358,7.166230843,-0.072315132,-0.057364559,-0.021030231,-0.06236578,0.068831841,-0.060249108
84,-6.276087007,-6.462915741,-0.405660837,0.390681971,7.201756382,7.166268559,-0.073698611,-0.119560249,-0.080283104,-0.062057136,0.007447172,-0.059696829
85,-6.26179831,-6.439128275,-0.393478491,0.395753766,7.190036588,7.189676852,-0.014474685,0.003807616,-0.019711991,-0.062390888,-0.052979951,-0.121806014
86,-6.280891578,-6.436679698,-0.391302416,0.390938896,7.182778699,7.182687215,-0.0760155,-0.121607279,0.099356467,-0.061490064,-0.052585341,-0.181706084
87,-6.287966142,-6.465486475,-0.400986901,0.409923352,7.185140408,7.184939381,-0.135006073,-0.060454081,-0.020937756,0.057829006,0.007503744,-0.118060029
88,-6.275773701,-6.470088983,-0.415221446,0.369231901,7.175965534,7.18482437,-0.132922537,-0.124715778,-0.140854216,0.178048899,0.067874296,-0.114314043
89,-6.285491163,-6.486832815,-0.408153793,0.378643122,7.185222194,7.175457301,-0.073698611,0.057729789,-0.080283104,0.476617557,0.007447172,-0.046981986
90,-6.278390428,-6.47722752,-0.396061446,0.381030866,7.175785555,7.166185307,-0.074165316,0.058762793,0.039163118,0.416661932,0.00812325,-0.048578839
91,-6.273822832,-6.486765958,-0.388829194,0.371422406,7.192234726,7.168451932,-0.013091206,0.124038516,0.039540882,0.355830592,0.008404718,0.071281283
92,-6.287883272,-6.48462524,-0.403376284,0.412189523,7.178104755,7.1825341,0.050983215,0.18726721,0.09870128,0.295566323,0.131117484,0.069132151
93,-6.292924097,-6.458343798,-0.389057899,0.4100097,7.189700003,7.191958527,-0.072548484,-0.000343375,0.03869288,0.29677579,0.06916988,0.00978436
94,-6.293314456,-6.465346965,-0.369896645,0.412121359,7.210708769,7.154660759,-0.072548484,0.062885318,0.03869288,0.236511522,0.06916988,0.007635228
95,-6.285746311,-6.48189271,-0.386566199,0.392739243,7.185045446,7.131249534,-0.076248852,0.062885318,0.159079578,0.236511522,-0.052247302,0.007635228
96,-6.300067716,-6.47246984,-0.386736958,0.402496917,7.182556463,7.15227844,-0.076248852,-0.060463569,0.159079578,0.117501095,-0.052247302,-0.055458548
97,-6.288069365,-6.453494491,-0.393794116,0.428979318,7.187433256,7.161739218,-0.073015189,-0.059430566,0.158139102,0.05754547,0.069845957,-0.057055401
98,-6.283297502,-6.463038726,-0.396140951,0.402731419,7.192202162,7.180273727,-0.071165005,-0.121616767,0.097945753,-0.001817975,0.130554548,-0.119104603
99,-6.290531988,-6.462975181,-0.393835409,0.386002452,7.196817442,7.182564292,-0.072781836,-0.122649771,0.098415991,0.058137649,0.069507919,-0.11750775
100,-6.280701127,-6.479700039,-0.410497548,0.383498517,7.187639337,7.180158034,-0.133622594,-0.06356258,0.038315117,0.29736797,0.068888412,-0.050667988
101,-6.28088722,-6.477209375,-0.400915381,0.366738647,7.196967837,7.175470101,-0.073015189,-0.00136689,0.158139102,0.297059326,0.069845957,-0.051220267
102,-6.309570736,-6.482029736,-0.391650094,0.397672425,7.182504261,7.154556205,-0.011474374,-0.002399893,0.039070643,0.357014951,0.069451347,-0.049623413
103,-6.268961562,-6.472387322,-0.407984859,0.373852794,7.211251686,7.161529815,-0.074398668,0.060819311,0.098886229,0.356422771,0.008461289,0.010828935
104,-6.266579629,-6.472496266,-0.410360667,0.393018509,7.215997723,7.16623348,-0.074865372,0.125081008,0.218332451,0.236202878,0.009137367,0.007082949
105,-6.29788787,-6.472548254,-0.384340161,0.409732554,7.206077333,7.161613362,-0.133855946,-0.061496573,0.098038228,0.17745672,0.069226451,-0.053861695
106,-6.285640909,-6.482209677,-0.398565466,0.412173542,7.189847167,7.177885156,-0.19678024,-0.123692263,0.157853814,0.177765363,0.008236392,-0.053309416
